epsilon,delta_I,lambda,sigma_mult,sigma,n,p_any_hit,p_narrow_hit,p_broad_hit,p_no_hit,p_R_0p0_to_0p1,p_R_0p1_to_0p5,p_R_0p5_to_2p0,p_R_2p0_to_4p0,p_R_4p0_to_inf,p_entered_narrow,p_entered_broad,p_multi_narrow,p_multi_broad,median_hit_R,q25_hit_R,q75_hit_R,scale_half,scale_twothirds,scale_eps34
0.02,0.01,0.008,8.0,0.10119288512538814,1000,0.569,0.103,0.268,0.431,0.052,0.029,0.103,0.136,0.249,0.616,0.755,0.001,0.001,3.426895815458395,1.4439483610175903,5.766542848626856,8.0,17.888543819998315,1.9027313840043538
0.02,0.02,0.016,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.02,0.02,0.016,0.5,0.008944271909999158,1000,0.001,0.0,0.0,0.999,0.001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0004895443406776363,0.0004895443406776363,0.0004895443406776363,0.5,0.9960550474146117,0.1681792830507429
0.02,0.02,0.016,1.0,0.017888543819998316,1000,0.042,0.0,0.003,0.958,0.039,0.003,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0009007810743712928,0.00028382178543432063,0.0014831691645344964,1.0,1.9921100948292234,0.3363585661014858
0.02,0.02,0.016,1.5,0.026832815729997475,1000,0.109,0.013,0.029,0.891,0.08,0.016,0.013,0.0,0.0,1.0,1.0,0.002,0.0,0.0019763135679148705,0.000772518361115384,0.1784348826790356,1.5,2.9881651422438353,0.5045378491522288
0.02,0.02,0.016,2.0,0.03577708763999663,1000,0.172,0.032,0.069,0.828,0.103,0.036,0.032,0.001,0.0,1.0,1.0,0.0,0.001,0.004492529867648099,0.001244744638157963,0.38383406069753917,2.0,3.984220189658447,0.6727171322029716
0.02,0.02,0.016,2.5,0.04472135954999579,1000,0.238,0.068,0.132,0.762,0.102,0.045,0.068,0.019,0.004,0.979,0.997,0.002,0.0,0.24160032950770577,0.002956487087611001,1.0175515740514722,2.5,4.980275237073058,0.8408964152537145
0.02,0.02,0.016,3.0,0.05366563145999495,1000,0.288,0.084,0.182,0.712,0.097,0.058,0.084,0.04,0.009,0.952,0.993,0.002,0.001,0.3788069673729231,0.0038535616684610445,1.6085643463295276,3.0,5.976330284487671,1.0090756983044575
0.02,0.02,0.016,4.0,0.07155417527999326,1000,0.414,0.141,0.28,0.586,0.08,0.049,0.141,0.09,0.054,0.857,0.947,0.002,0.003,1.2319281923520295,0.27246608833593,2.646506556260737,4.0,7.968440379316894,1.3454342644059432
0.02,0.02,0.016,5.0,0.08944271909999157,1000,0.504,0.151,0.328,0.496,0.076,0.049,0.151,0.128,0.1,0.773,0.902,0.001,0.001,1.7190015499237936,0.5205866252696564,3.4570592895171726,5.0,9.960550474146116,1.681792830507429
0.02,0.02,0.016,6.5,0.11627553482998905,1000,0.618,0.137,0.329,0.382,0.05,0.047,0.137,0.145,0.239,0.618,0.763,0.001,0.001,2.894517780336219,1.0514379485818164,5.3695467610757355,6.5,12.948715616389952,2.1863306796596578
0.02,0.02,0.016,8.0,0.14310835055998652,1000,0.673,0.127,0.325,0.327,0.058,0.04,0.127,0.158,0.29,0.555,0.711,0.002,0.0,3.3239283200079703,1.2765466756883432,5.649065500205609,8.0,15.936880758633787,2.6908685288118863
0.02,0.04,0.032,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.02,0.04,0.032,0.5,0.012649110640673518,1000,0.005,0.0,0.0,0.995,0.005,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0010861057830740257,0.00029753953449581955,0.002417677590770105,0.5,0.8873841649388925,0.23784142300054423
0.02,0.04,0.032,1.0,0.025298221281347035,1000,0.097,0.0,0.008,0.903,0.089,0.008,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.001258296874635262,0.0005326163005433446,0.0025139121770874945,1.0,1.774768329877785,0.47568284600108846
0.02,0.04,0.032,1.5,0.03794733192202055,1000,0.206,0.025,0.065,0.794,0.141,0.038,0.025,0.002,0.0,0.999,1.0,0.0,0.0,0.0027259623928214648,0.0008524344801694728,0.20191223063677846,1.5,2.6621524948166773,0.7135242690016327
0.02,0.04,0.032,2.0,0.05059644256269407,1000,0.275,0.075,0.14,0.725,0.135,0.059,0.075,0.006,0.0,0.994,1.0,0.001,0.0,0.1101147277940577,0.001799115644487531,0.6252588552303211,2.0,3.54953665975557,0.9513656920021769
0.02,0.04,0.032,2.5,0.06324555320336758,1000,0.351,0.117,0.21,0.649,0.14,0.059,0.117,0.034,0.001,0.967,0.999,0.001,0.0,0.3483007224076581,0.0030459607891363035,1.0857680747072647,2.5,4.436920824694462,1.189207115002721
0.02,0.04,0.032,3.0,0.0758946638440411,1000,0.404,0.15,0.26,0.596,0.134,0.061,0.15,0.049,0.01,0.942,0.991,0.002,0.0,0.5119885226327758,0.005437657286435911,1.3669765864480614,3.0,5.3243049896333545,1.4270485380032654
0.02,0.04,0.032,4.0,0.10119288512538814,1000,0.55,0.196,0.377,0.45,0.09,0.062,0.196,0.119,0.083,0.798,0.921,0.002,0.002,1.3558262292763108,0.414082454160127,2.8845770569018674,4.0,7.09907331951114,1.9027313840043538
0.02,0.04,0.032,5.0,0.12649110640673517,1000,0.645,0.163,0.396,0.355,0.075,0.054,0.163,0.179,0.174,0.647,0.828,0.001,0.003,2.3280258174278377,0.6904033023554068,4.165437614404844,5.0,8.873841649388924,2.378414230005442
0.02,0.04,0.032,6.5,0.1644384383287557,1000,0.755,0.152,0.403,0.245,0.057,0.043,0.152,0.208,0.295,0.498,0.705,0.0,0.0,3.2090129671161516,1.4365726591702135,5.214792283248585,6.499999999999999,11.5359941442056,3.0919384990070746
0.02,0.04,0.032,8.0,0.20238577025077628,1000,0.801,0.109,0.337,0.199,0.044,0.031,0.109,0.197,0.42,0.383,0.583,0.0,0.001,4.208749076681838,2.167483583473977,6.086037088557901,8.0,14.19814663902228,3.8054627680087076
0.04,0.01,0.008,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.04,0.01,0.008,0.5,0.00894427190999916,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.5,1.1180339887498947,0.1
0.04,0.01,0.008,1.0,0.01788854381999832,1000,0.001,0.0,0.001,0.999,0.0,0.001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.12060128794017043,0.12060128794017043,0.12060128794017043,1.0,2.2360679774997894,0.2
0.04,0.01,0.008,1.5,0.026832815729997482,1000,0.012,0.0,0.003,0.988,0.009,0.002,0.0,0.001,0.0,1.0,1.0,0.0,0.0,0.0013088324895495832,0.0009592291690043573,0.03584312263887159,1.5000000000000002,3.3541019662496843,0.30000000000000004
0.04,0.01,0.008,2.0,0.03577708763999664,1000,0.058,0.009,0.016,0.942,0.042,0.007,0.009,0.0,0.0,1.0,1.0,0.001,0.0,0.0019461772457131893,0.0009037241971824174,0.16438238501481478,2.0,4.472135954999579,0.4
0.04,0.01,0.008,2.5,0.044721359549995794,1000,0.112,0.027,0.052,0.888,0.06,0.017,0.027,0.008,0.0,0.996,1.0,0.0,0.0,0.041302836242480594,0.0013402328086562433,0.7125793766077277,2.5,5.590169943749473,0.5
0.04,0.01,0.008,3.0,0.053665631459994964,1000,0.153,0.036,0.086,0.847,0.063,0.028,0.036,0.022,0.004,0.977,0.998,0.001,0.002,0.27129819075402856,0.0017682985480918449,1.341691340579734,3.0000000000000004,6.7082039324993685,0.6000000000000001
0.04,0.01,0.008,4.0,0.07155417527999328,1000,0.232,0.075,0.144,0.768,0.065,0.024,0.075,0.045,0.023,0.935,0.979,0.0,0.003,0.9347629076864359,0.005098306449192953,2.3163750062532364,4.0,8.944271909999157,0.8
0.04,0.01,0.008,5.0,0.08944271909999159,1000,0.294,0.081,0.187,0.706,0.053,0.029,0.081,0.077,0.054,0.87,0.951,0.002,0.0,1.4606445851548724,0.34101944782061955,3.405468705030641,5.0,11.180339887498945,1.0
0.04,0.01,0.008,6.5,0.11627553482998906,1000,0.389,0.09,0.207,0.611,0.051,0.02,0.09,0.097,0.131,0.774,0.875,0.0,0.003,2.829839106185706,0.8935980853762358,4.710321423047433,6.499999999999999,14.53444185374863,1.3
0.04,0.01,0.008,8.0,0.14310835055998655,1000,0.471,0.096,0.217,0.529,0.044,0.02,0.096,0.101,0.21,0.693,0.793,0.001,0.002,3.44071311162462,1.3362082839029694,5.6872266125161826,8.0,17.888543819998315,1.6
0.04,0.02,0.016,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.04,0.02,0.016,0.5,0.012649110640673518,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.5,0.9960550474146117,0.1414213562373095
