a,b,I_fold_left,I,delta_I,lambda,epsilon,sigma,q,window_lo,window_hi,hit_prob,n,W_star,W_lo,W_hi,v_start,w_start,scale_half,scale_twothirds,scale_eps34
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.04,0.02782804340948174,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.234735908627536,-0.03725432959642298,1.1,2.191321104312146,0.3111269837220809
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.04,0.03288768766575115,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.234735908627536,-0.03725432959642298,1.3,2.589743123277991,0.36769552621700474
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.04,0.04047715405015526,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.234735908627536,-0.03725432959642298,1.6000000000000003,3.1873761517267583,0.4525483399593905
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.04,0.05059644256269407,0.75,0.5,2.0,0.002,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.234735908627536,-0.03725432959642298,2.0,3.984220189658447,0.565685424949238
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.04,0.06324555320336758,0.75,0.5,2.0,0.005,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.234735908627536,-0.03725432959642298,2.5,4.980275237073058,0.7071067811865475
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.04,0.07589466384404112,0.75,0.5,2.0,0.021,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.234735908627536,-0.03725432959642298,3.0000000000000004,5.976330284487672,0.8485281374238571
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.0,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,0.0,0.0,0.0
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.01252198067399882,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,0.3499999999999999,0.6211689154572246,0.13999999999999999
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.01788854381999832,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,0.5,0.8873841649388925,0.2
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.02504396134799764,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,0.6999999999999998,1.2423378309144493,0.27999999999999997
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.03219937887599698,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,0.9,1.5972914968900067,0.36000000000000004
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.039354796403996306,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,1.1,1.9522451628655637,0.44000000000000006
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.04651021393199563,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,1.3,2.3071988288411203,0.52
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.057243340223994625,0.75,0.5,2.0,0.001,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,1.6,2.8396293278044564,0.6400000000000001
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.07155417527999328,0.75,0.5,2.0,0.012,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,2.0,3.54953665975557,0.8
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.08944271909999159,0.75,0.5,2.0,0.034,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,2.5,4.436920824694462,1.0
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.04,0.10733126291998993,0.75,0.5,2.0,0.058,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.2931155072745482,0.01764453969852736,3.0000000000000004,5.324304989633355,1.2000000000000002
0.7,0.8,0.55,0.56,0.01,0.008,0.08,0.0,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.234735908627536,-0.047254329596422985,0.0,0.0,0.0
0.7,0.8,0.55,0.56,0.01,0.008,0.08,0.008854377448471461,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.234735908627536,-0.047254329596422985,0.35,0.7826237921249263,0.05886274906776002
0.7,0.8,0.55,0.56,0.01,0.008,0.08,0.012649110640673518,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.234735908627536,-0.047254329596422985,0.5,1.1180339887498947,0.08408964152537146
0.7,0.8,0.55,0.56,0.01,0.008,0.08,0.017708754896942923,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.234735908627536,-0.047254329596422985,0.7,1.5652475842498526,0.11772549813552004
0.7,0.8,0.55,0.56,0.01,0.008,0.08,0.02276839915321233,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.234735908627536,-0.047254329596422985,0.8999999999999999,2.01246117974981,0.1513613547456686
0.7,0.8,0.55,0.56,0.01,0.008,0.08,0.02782804340948174,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.234735908627536,-0.047254329596422985,1.1,2.4596747752497685,0.18499721135581723
0.7,0.8,0.55,0.56,0.01,0.008,0.08,0.03288768766575115,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.234735908627536,-0.047254329596422985,1.3,2.9068883707497264,0.21863306796596582
0.7,0.8,0.55,0.56,0.01,0.008,0.08,0.040477154050155256,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.234735908627536,-0.047254329596422985,1.6,3.577708763999663,0.26908685288118867
