epsilon,delta_I,lambda,sigma_mult,sigma,n,p_pre_window,p_window,p_post_window,p_no_hit,p_any_hit,p_entered_window,mean_entry_count,p_multiple_entries,median_first_hit_W_ratio,scale_half,scale_twothirds,scale_eps34
0.02,0.02,0.016,2.5,0.04472135954999579,1000,0.023,0.068,0.147,0.762,0.238,0.979,0.983,0.002,0.24160032950770577,2.5,4.980275237073058,0.8408964152537145
0.02,0.02,0.016,3.0,0.05366563145999495,1000,0.049,0.084,0.155,0.712,0.288,0.952,0.954,0.002,0.3788069673729231,3.0,5.976330284487671,1.0090756983044575
0.02,0.02,0.016,4.0,0.07155417527999326,1000,0.144,0.141,0.129,0.586,0.414,0.857,0.859,0.002,1.2319281923520295,4.0,7.968440379316894,1.3454342644059432
0.02,0.02,0.016,5.0,0.08944271909999157,1000,0.228,0.151,0.125,0.496,0.504,0.773,0.774,0.001,1.7190015499237936,5.0,9.960550474146116,1.681792830507429
0.02,0.02,0.016,6.5,0.11627553482998905,1000,0.384,0.137,0.097,0.382,0.618,0.618,0.619,0.001,2.894517780336219,6.5,12.948715616389952,2.1863306796596578
0.02,0.02,0.016,8.0,0.14310835055998652,1000,0.448,0.127,0.098,0.327,0.673,0.555,0.557,0.002,3.3239283200079703,8.0,15.936880758633787,2.6908685288118863
0.02,0.04,0.032,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.02,0.04,0.032,0.5,0.012649110640673518,1000,0.0,0.0,0.005,0.995,0.005,1.0,1.0,0.0,0.0010861057830740257,0.5,0.8873841649388925,0.23784142300054423
0.02,0.04,0.032,1.0,0.025298221281347035,1000,0.0,0.0,0.097,0.903,0.097,1.0,1.0,0.0,0.001258296874635262,1.0,1.774768329877785,0.47568284600108846
0.02,0.04,0.032,1.5,0.03794733192202055,1000,0.002,0.025,0.179,0.794,0.206,0.999,0.999,0.0,0.0027259623928214648,1.5,2.6621524948166773,0.7135242690016327
0.02,0.04,0.032,2.0,0.05059644256269407,1000,0.006,0.075,0.194,0.725,0.275,0.994,0.996,0.001,0.1101147277940577,2.0,3.54953665975557,0.9513656920021769
0.02,0.04,0.032,2.5,0.06324555320336758,1000,0.035,0.117,0.199,0.649,0.351,0.967,0.968,0.001,0.3483007224076581,2.5,4.436920824694462,1.189207115002721
0.02,0.04,0.032,3.0,0.0758946638440411,1000,0.059,0.15,0.195,0.596,0.404,0.942,0.944,0.002,0.5119885226327758,3.0,5.3243049896333545,1.4270485380032654
0.02,0.04,0.032,4.0,0.10119288512538814,1000,0.202,0.196,0.152,0.45,0.55,0.798,0.8,0.002,1.3558262292763108,4.0,7.09907331951114,1.9027313840043538
0.02,0.04,0.032,5.0,0.12649110640673517,1000,0.353,0.163,0.129,0.355,0.645,0.647,0.648,0.001,2.3280258174278377,5.0,8.873841649388924,2.378414230005442
0.02,0.04,0.032,6.5,0.1644384383287557,1000,0.503,0.152,0.1,0.245,0.755,0.498,0.498,0.0,3.2090129671161516,6.499999999999999,11.5359941442056,3.0919384990070746
0.02,0.04,0.032,8.0,0.20238577025077628,1000,0.617,0.109,0.075,0.199,0.801,0.383,0.383,0.0,4.208749076681838,8.0,14.19814663902228,3.8054627680087076
0.04,0.01,0.008,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.04,0.01,0.008,0.5,0.00894427190999916,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.5,1.1180339887498947,0.1
0.04,0.01,0.008,1.0,0.01788854381999832,1000,0.0,0.0,0.001,0.999,0.001,1.0,1.0,0.0,0.12060128794017043,1.0,2.2360679774997894,0.2
