deltaI,lambda,I,eps,sigma,n,frac_fired,frac_peeled,frac_early,mean_t_peel,mean_W_peel,mean_t_fire,det_t_peel,det_W_peel,pred_sigma,T_phys
0.02,0.016,0.3116666666666667,0.04,0.09,800,0.81125,0.985,0.78375,9.202699873096448,0.042984440703554234,18.03128659476117,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.11,800,0.85625,0.99125,0.84,7.88688524590164,0.05506335767400553,16.721003649635037,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.06,0.0,800,0.0,1.0,0.0,14.425000000000002,0.0011114839345703848,nan,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.006,800,0.0,1.0,0.00625,14.411490625,0.0011236180078822882,nan,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.01,800,0.0,1.0,0.0525,14.451118750000001,0.0011433740346227248,nan,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.014,800,0.2025,0.99875,0.1425,14.411260951188986,0.0011836269496326775,22.640925925925927,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.018,800,0.30875,0.99375,0.195,14.413540880503147,0.0011803979140393884,21.639686234817816,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.024,800,0.3925,0.99125,0.2725,14.49436948297604,0.0013594558069799413,21.111584394904458,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.032,800,0.4575,0.98375,0.36125,14.053300508259213,0.0016652498508542704,20.10676912568306,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.045,800,0.54875,0.98125,0.4325,13.475914012738855,0.0036155246364947993,18.853171981776764,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.06,800,0.6225,0.97125,0.5475,11.74648326898327,0.010797796568157192,18.122319277108435,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.075,800,0.72,0.97375,0.6225,10.546652759948653,0.017459754331114134,17.279704861111114,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.09,800,0.74875,0.9825,0.67625,9.498848600508905,0.026997892531708777,16.681252086811355,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.06,0.11,800,0.79125,0.985,0.75375,7.929457487309645,0.041838567492973294,15.405161927330171,14.425,0.0011114839345703848,0.021995674191977645,25.543647746451768
0.02,0.016,0.3116666666666667,0.08,0.0,800,0.0,1.0,0.0,12.455,0.0012514004140805057,nan,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.006,800,0.0,1.0,0.0,12.443553125000001,0.001253138021610752,nan,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.01,800,0.0,1.0,0.02625,12.405784375000001,0.0012767512017918064,nan,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.014,800,0.05125,1.0,0.09875,12.540846875000002,0.0013782930774186178,20.501280487804877,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.018,800,0.1125,0.99625,0.1575,12.538039523212046,0.001404501281575314,19.65952777777778,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.024,800,0.23,0.99375,0.2625,12.481698113207548,0.0014287250210182662,19.21688858695652,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.032,800,0.3075,0.985,0.32375,12.412030456852792,0.0016732828607321647,18.371229674796748,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.045,800,0.40875,0.975,0.39375,12.088727564102564,0.0024308998526509132,17.492507645259938,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.06,800,0.535,0.96875,0.4675,11.314864516129033,0.005070031942579574,16.695992990654204,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.075,800,0.6375,0.98125,0.57375,10.109566878980893,0.010366840742449507,15.744539215686276,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.09,800,0.69125,0.97875,0.63,9.135332056194125,0.019228195151159557,15.330022603978298,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.02,0.016,0.3116666666666667,0.08,0.11,800,0.765,0.98625,0.70625,7.89269328263625,0.028040375959072012,14.306049836601307,12.455,0.0012514004140805057,0.025398416831491195,23.207944168063893
0.04,0.032,0.33166666666666667,0.01,0.0,800,0.0,1.0,0.0,36.065,0.0009665348774545614,nan,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.006,800,0.915,1.0,0.06,36.004315625,0.0009850613024915895,40.662581967213114,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.01,800,0.92,0.98625,0.195,35.51998098859316,0.001025739130199125,40.245295516304346,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.014,800,0.84875,0.9675,0.34125,34.14908914728682,0.0016700267431883657,38.92646539027982,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.018,800,0.81875,0.94875,0.425,32.397941370223975,0.005018452936198196,37.80219083969465,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.024,800,0.795,0.945,0.54875,28.521501322751323,0.013854136741797113,36.179422169811325,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.032,800,0.82125,0.96375,0.67375,23.875995460440986,0.03186034051425286,34.423900304414,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.045,800,0.875,0.98125,0.83625,17.42096178343949,0.07028713993515988,31.065303571428572,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.06,800,0.90125,0.98875,0.905,13.025208596713021,0.10505017274841973,28.67864771151179,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.075,800,0.9075,0.9925,0.93875,9.653340680100754,0.13745314998192146,26.090216942148757,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.09,800,0.955,0.995,0.96125,7.809638819095477,0.15579007175550738,23.35894960732984,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.01,0.11,800,0.9775,0.99875,0.97,6.124521276595745,0.17304917283657398,20.973558184143226,36.065,0.0009665348774545611,0.01425437949024543,46.415888336127786
0.04,0.032,0.33166666666666667,0.015,0.0,800,0.0,1.0,0.0,29.53500000000001,0.0010656284679613306,nan,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.006,800,0.65375,1.0,0.0275,29.506259375,0.0011078315065565089,33.92479923518164,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.01,800,0.9425,0.9975,0.13875,29.50013784461153,0.0011417706370932647,34.61786140583554,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.014,800,0.88,0.98875,0.2475,28.89065107458913,0.0012775563972586045,33.75522017045454,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.018,800,0.85125,0.96875,0.33125,28.254719354838713,0.001816583583217703,33.11013215859031,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.024,800,0.845,0.96375,0.41125,26.35359922178988,0.005880903097335544,32.13479289940828,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.032,800,0.8025,0.9525,0.5725,22.705190288713915,0.016395136005890133,30.92738317757009,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.045,800,0.835,0.96125,0.74125,17.54669700910273,0.04489357220977679,28.280542664670666,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.06,800,0.89125,0.9775,0.8325,13.736256393861893,0.0756773970131871,26.19880785413745,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.075,800,0.9075,0.98875,0.88625,10.868928571428574,0.10285991530866118,24.369008264462813,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.09,800,0.9275,0.98875,0.925,8.647835018963338,0.12667907820611707,22.163925202156335,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.015,0.11,800,0.95,0.99625,0.9275,7.639927854454204,0.1438464293852643,20.3913125,29.535,0.0010656284679613308,0.017457978175547544,40.54801330382267
0.04,0.032,0.33166666666666667,0.02,0.0,800,0.0,1.0,0.0,25.5975,0.0011403150293691944,nan,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.006,800,0.145,1.0,0.01375,25.595490625000004,0.0011958580952359868,29.03778017241379,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.01,800,0.74625,1.0,0.0975,25.533621874999998,0.0012232617604057215,30.047345058626465,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.014,800,0.9075,0.99875,0.20375,25.505948060075095,0.0012837309201272822,30.429001377410472,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.018,800,0.88375,0.98625,0.2825,24.935532319391637,0.001412305548556134,29.856471004243282,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.024,800,0.84875,0.98125,0.3725,24.244117834394903,0.0024504355706868935,29.27019882179676,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.032,800,0.82625,0.97,0.51,21.952503221649486,0.008355899673448887,27.66031770045386,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.045,800,0.85,0.9775,0.62875,18.68062979539642,0.026318709898165486,26.404661764705885,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.06,800,0.845,0.975,0.75125,14.667317307692308,0.05207440302880222,24.791701183431957,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.075,800,0.87875,0.9875,0.85,11.457148734177213,0.08121185101499297,22.88362375533428,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.09,800,0.92,0.985,0.87625,9.861881345177665,0.09981423044937854,21.337605298913044,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.02,0.11,800,0.925,0.995,0.92625,7.584268216080402,0.12542469427123812,19.143222972972975,25.5975,0.0011403150293691946,0.020158736798317974,36.84031498640386
0.04,0.032,0.33166666666666667,0.03,0.0,800,0.0,1.0,0.0,20.892500000000005,0.0013891117485513621,nan,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.006,800,0.00375,1.0,0.00625,20.86931875,0.0013094562613267591,23.913333333333338,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.01,800,0.525,1.0,0.04375,20.9446875,0.0013587710490453517,25.424636904761904,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.014,800,0.90875,1.0,0.13,20.996137499999996,0.0013723673499365149,26.648583218707017,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.018,800,0.85625,0.995,0.20625,20.80570037688442,0.0014312122707996386,25.923653284671538,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.024,800,0.85125,0.98875,0.305,20.470888116308473,0.0016684329092761547,25.40626651982379,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.032,800,0.82375,0.975,0.40625,19.820330128205132,0.0029532917561775483,24.642943854324734,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.045,800,0.82875,0.975,0.515,17.681551282051284,0.012581162369658522,23.646534690799395,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.06,800,0.83625,0.97375,0.65875,14.860263157894737,0.027662878507648515,21.922619581464872,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.075,800,0.85875,0.98375,0.77625,11.980724269377383,0.05056483170399958,20.583038573508006,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.09,800,0.90125,0.98875,0.81125,10.442149178255372,0.07166191804120331,19.699674063800277,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.03,0.11,800,0.92375,0.9925,0.83875,9.170799748110833,0.0862937086200801,18.679431664411368,20.892500000000002,0.001389111748551362,0.024689309507472838,32.18297948685432
0.04,0.032,0.33166666666666667,0.04,0.0,800,0.0,1.0,0.0,18.069999999999997,0.0013784662135199238,nan,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.006,800,0.0,1.0,0.00125,18.055778125000003,0.0014416252661080603,nan,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.01,800,0.09125,1.0,0.04,18.0496375,0.001460505145481324,21.70417808219178,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.014,800,0.62375,1.0,0.10375,18.17994375,0.001492927401284727,22.945380761523044,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.018,800,0.8425,0.99375,0.17,18.027572327044027,0.0015186419981540356,23.67910237388724,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.024,800,0.82,0.995,0.26,17.90735552763819,0.001722641241274014,23.284024390243903,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.032,800,0.7775,0.9875,0.35375,17.54340506329114,0.002202652646610676,22.43457797427653,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.045,800,0.77625,0.97375,0.47375,16.159759306803593,0.006810965787923743,21.375374396135268,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.06,800,0.8225,0.97375,0.595,14.073234916559691,0.019241778822440117,20.473468844984804,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.075,800,0.835,0.97875,0.6725,12.548569604086847,0.03353801827427426,19.819996257485034,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.09,800,0.87375,0.99,0.73875,11.057165404040406,0.045906883894862666,18.03359799713877,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.04,0.11,800,0.88,0.98,0.805,8.70235650510204,0.06819443913957714,17.25897372159091,18.07,0.0013784662135199236,0.02850875898049086,29.24017738212866
0.04,0.032,0.33166666666666667,0.06,0.0,800,0.0,1.0,0.0,14.7175,0.0015662701439816257,nan,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.006,800,0.0,1.0,0.0,14.728471875,0.0015984309991841457,nan,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.01,800,0.0,1.0,0.01125,14.724234375000002,0.001629410029748611,nan,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.014,800,0.18125,1.0,0.06875,14.756784375000002,0.0016308882565313184,19.09943103448276,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.018,800,0.73,0.99875,0.1225,14.723451188986232,0.0016523830687438402,20.886382705479452,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.024,800,0.7175,0.99625,0.1975,14.81409661229611,0.0017435065844423733,20.27223432055749,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.032,800,0.75125,0.9875,0.2825,14.623424050632913,0.001967591671532842,19.653714642262894,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.045,800,0.72125,0.98375,0.38125,14.200314485387546,0.0026685423867208865,18.846018197573656,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.06,800,0.75125,0.97875,0.5225,12.782729885057469,0.009967757291300349,18.00817803660566,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.075,800,0.78375,0.98625,0.595,11.718596324461343,0.01630337642974019,17.29845295055821,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.09,800,0.84125,0.98,0.65875,10.468692602040816,0.02701782961116131,16.578476968796434,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.06,0.11,800,0.85625,0.985,0.74,9.013207487309645,0.043581171395424084,15.818532846715328,14.717500000000001,0.0015662701439816257,0.03491595635109509,25.543647746451768
0.04,0.032,0.33166666666666667,0.08,0.0,800,0.0,1.0,0.0,12.7175,0.0015770225376795096,nan,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.006,800,0.0,1.0,0.0,12.709271874999999,0.001744753296703584,nan,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.01,800,0.0,1.0,0.00375,12.7541875,0.0017588117646842561,nan,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.014,800,0.0025,1.0,0.03625,12.752990625,0.0017664140635830219,15.732500000000002,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.018,800,0.16,1.0,0.0975,12.7265625,0.0018248980564532613,17.14095703125,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.024,800,0.58125,0.9975,0.14875,12.732061403508773,0.0018925342128136742,18.586279569892472,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.032,800,0.62625,0.99625,0.24,12.68495294855709,0.0020308824159324464,18.06519461077845,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.045,800,0.66125,0.9825,0.3425,12.586005089058528,0.002513972510497421,17.159012287334594,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.06,800,0.70375,0.99125,0.4375,12.01546343001261,0.004815669345058529,16.679755772646537,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.075,800,0.73875,0.97625,0.5075,11.193495518565943,0.008142076597593072,15.992402707275804,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.09,800,0.7375,0.9875,0.60375,9.94045253164557,0.017596366062132794,15.053182203389829,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
0.04,0.032,0.33166666666666667,0.08,0.11,800,0.8,0.98375,0.685,8.891534307496824,0.031119973977551882,14.7807421875,12.717500000000001,0.0015770225376795098,0.04031747359663595,23.207944168063893
