q,window_lo,window_hi,lambda,eta,hit_prob,W_star,W_lo,W_hi,n
0.5,0.5,2.0,0.006,0.14,0.429,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.2,0.74,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.28,0.9295,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.4,0.9915,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.6,1.0,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.85,1.0,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,1.1,1.0,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.008,0.0,0.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.02,0.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.035,0.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.05,0.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.07,0.01,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.1,0.097,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.14,0.3235,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.2,0.6165,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.28,0.862,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.4,0.9715,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.6,0.9985,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,0.85,1.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.008,1.1,1.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,2000
0.5,0.5,2.0,0.012,0.0,0.0,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.02,0.0,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.035,0.0,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.05,0.0,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.07,0.0005,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.1,0.029,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.14,0.17,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.2,0.444,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.28,0.7355,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.4,0.929,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.6,0.9935,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,0.85,1.0,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.012,1.1,1.0,0.05241482788417794,0.02620741394208897,0.10482965576835589,2000
0.5,0.5,2.0,0.016,0.0,0.0,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.02,0.0,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.035,0.0,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.05,0.0,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.07,0.0,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.1,0.0105,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.14,0.0815,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.2,0.323,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.28,0.621,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.4,0.865,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.6,0.9815,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,0.85,0.997,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.016,1.1,1.0,0.06349604207872799,0.03174802103936399,0.12699208415745597,2000
0.5,0.5,2.0,0.024,0.0,0.0,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.02,0.0,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
