lambda,eta,pred_eta,hit_prob,mean_t_hit,mean_W_hit,mean_V_hit,W_star,W_low,W_high,event_mode,peel_dist,W_cut,n,dt,T_run
0.012,0.28,0.05241482788417794,0.6653333333333333,77.09471342685544,0.07486343887703102,106220.31801365917,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.4,0.05241482788417794,0.9073333333333333,75.82082586334049,0.09015008963924483,393093.68342341244,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.6,0.05241482788417794,0.99,74.82497239057942,0.10210033131240433,835017.0131300093,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.85,0.05241482788417794,1.0,74.60542800000755,0.10473486399927263,992000.0130416756,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,1.1,0.05241482788417794,1.0,74.59800000000757,0.10482399999927262,999333.3421693406,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.016,0.0,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.02,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.035,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.05,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.07,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.1,0.06349604207872799,0.004666666666666667,59.86628571431292,0.04213942857108906,0.15598903145806617,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.14,0.06349604207872799,0.06666666666666667,59.22910000002642,0.05233439999966045,0.17330367956998555,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.2,0.06349604207872799,0.242,58.49200000002551,0.06412799999966104,0.1944787302650018,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.28,0.06349604207872799,0.5246666666666666,57.448254129630335,0.08082793392596486,44473.03745947825,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.4,0.06349604207872799,0.8266666666666667,56.09941290324841,0.10240939354805166,261290.6947024194,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.6,0.06349604207872799,0.9686666666666667,54.98458086719261,0.12024670612492461,695802.0451876333,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,0.85,0.06349604207872799,0.9986666666666667,54.59723765022103,0.126444197596463,958611.5487065433,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.016,1.1,0.06349604207872799,1.0,54.56537200002074,0.12695404799966734,995333.3973867887,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,1500,0.002,82.5
0.024,0.0,0.08320335292207617,0.0,nan,nan,nan,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.02,0.08320335292207617,0.0,nan,nan,nan,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.035,0.08320335292207617,0.0,nan,nan,nan,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.05,0.08320335292207617,0.0,nan,nan,nan,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.07,0.08320335292207617,0.0,nan,nan,nan,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.1,0.08320335292207617,0.0,nan,nan,nan,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.14,0.08320335292207617,0.01,39.31360000000208,0.056473599999550914,0.18117133322822068,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.2,0.08320335292207617,0.12066666666666667,38.65790055248746,0.07221038673988346,0.2059624481087053,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.28,0.08320335292207617,0.352,37.88828787878822,0.09068109090864387,13257.820270546892,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.4,0.08320335292207617,0.67,36.75988059701389,0.11776286567119539,112438.19460546879,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.6,0.08320335292207617,0.926,35.59986609071029,0.1456032138224473,485241.65875991125,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,0.85,0.08320335292207617,0.992,34.91945967741607,0.161932967741488,844758.2092974423,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.024,1.1,0.08320335292207617,0.9986666666666667,34.77635246995649,0.16536754072051355,964619.5442164075,0.08320335292207617,0.04160167646103809,0.16640670584415235,window,0.05,0.02,1500,0.002,61.666666666666664
0.032,0.0,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.02,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.035,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.05,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.07,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.1,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.14,0.10079368399158986,0.006666666666666667,29.244799999994672,0.06416640000032227,0.19297484354370392,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.2,0.10079368399158986,0.05466666666666667,28.837414634141236,0.0772027317076387,0.2113089033283173,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.28,0.10079368399158986,0.24666666666666667,27.92428108107648,0.10642300540572672,5405.67074671263,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.4,0.10079368399158986,0.552,27.209785024150385,0.1292868792273754,43478.6552940296,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.6,0.10079368399158986,0.858,26.077006993003415,0.16553577622410073,308476.0675928914,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,0.85,0.10079368399158986,0.9753333333333334,25.384322624740488,0.18770167600852866,665072.1914814712,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.032,1.1,0.10079368399158986,0.9953333333333333,25.04703281982285,0.19849494976590001,893503.1201113804,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,1500,0.002,51.25
0.048,0.0,0.13207708995578507,0.0,nan,nan,nan,0.13207708995578507,0.06603854497789254,0.26415417991157014,window,0.05,0.02,1500,0.002,40.83333333333333
0.048,0.02,0.13207708995578507,0.0,nan,nan,nan,0.13207708995578507,0.06603854497789254,0.26415417991157014,window,0.05,0.02,1500,0.002,40.83333333333333
0.048,0.035,0.13207708995578507,0.0,nan,nan,nan,0.13207708995578507,0.06603854497789254,0.26415417991157014,window,0.05,0.02,1500,0.002,40.83333333333333
0.048,0.05,0.13207708995578507,0.0,nan,nan,nan,0.13207708995578507,0.06603854497789254,0.26415417991157014,window,0.05,0.02,1500,0.002,40.83333333333333
0.048,0.07,0.13207708995578507,0.0,nan,nan,nan,0.13207708995578507,0.06603854497789254,0.26415417991157014,window,0.05,0.02,1500,0.002,40.83333333333333
0.048,0.1,0.13207708995578507,0.0,nan,nan,nan,0.13207708995578507,0.06603854497789254,0.26415417991157014,window,0.05,0.02,1500,0.002,40.83333333333333
0.048,0.14,0.13207708995578507,0.0,nan,nan,nan,0.13207708995578507,0.06603854497789254,0.26415417991157014,window,0.05,0.02,1500,0.002,40.83333333333333
0.048,0.2,0.13207708995578507,0.016,18.77025000000047,0.09902800000010215,0.23615060794765594,0.13207708995578507,0.06603854497789254,0.26415417991157014,window,0.05,0.02,1500,0.002,40.83333333333333
