path,t,v,w,V_blow,W_blow,hit,sigma_mult,sigma,lambda,epsilon,I,w_fold
6,0.09720000000000001,-1.157344208961373,-0.3383177788313242,-0.5796610219423531,0.2264125751209309,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.09720000000000001,-1.157344208961373,-0.3383177788313242,-0.5796610219423531,0.2264125751209309,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0974,-1.1572504744985734,-0.33835511682850344,-0.5793157012288913,0.22590582053437222,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0974,-1.1572504744985734,-0.33835511682850344,-0.5793157012288913,0.22590582053437222,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0974,-1.1572504744985734,-0.33835511682850344,-0.5793157012288913,0.22590582053437222,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0974,-1.1572504744985734,-0.33835511682850344,-0.5793157012288913,0.22590582053437222,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0974,-1.1572504744985734,-0.33835511682850344,-0.5793157012288913,0.22590582053437222,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0974,-1.1572504744985734,-0.33835511682850344,-0.5793157012288913,0.22590582053437222,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0974,-1.1572504744985734,-0.33835511682850344,-0.5793157012288913,0.22590582053437222,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0974,-1.1572504744985734,-0.33835511682850344,-0.5793157012288913,0.22590582053437222,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0976,-1.1571566847316455,-0.3383924301047106,-0.5789701767732786,0.2253994014630244,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0976,-1.1571566847316455,-0.3383924301047106,-0.5789701767732786,0.2253994014630244,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0976,-1.1571566847316455,-0.3383924301047106,-0.5789701767732786,0.2253994014630244,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0976,-1.1571566847316455,-0.3383924301047106,-0.5789701767732786,0.2253994014630244,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0976,-1.1571566847316455,-0.3383924301047106,-0.5789701767732786,0.2253994014630244,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0976,-1.1571566847316455,-0.3383924301047106,-0.5789701767732786,0.2253994014630244,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0976,-1.1571566847316455,-0.3383924301047106,-0.5789701767732786,0.2253994014630244,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0976,-1.1571566847316455,-0.3383924301047106,-0.5789701767732786,0.2253994014630244,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0978,-1.1570628398919307,-0.33842971865284016,-0.5786244494277845,0.22489331800332368,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0978,-1.1570628398919307,-0.33842971865284016,-0.5786244494277845,0.22489331800332368,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0978,-1.1570628398919307,-0.33842971865284016,-0.5786244494277845,0.22489331800332368,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0978,-1.1570628398919307,-0.33842971865284016,-0.5786244494277845,0.22489331800332368,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0978,-1.1570628398919307,-0.33842971865284016,-0.5786244494277845,0.22489331800332368,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0978,-1.1570628398919307,-0.33842971865284016,-0.5786244494277845,0.22489331800332368,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0978,-1.1570628398919307,-0.33842971865284016,-0.5786244494277845,0.22489331800332368,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0978,-1.1570628398919307,-0.33842971865284016,-0.5786244494277845,0.22489331800332368,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.098,-1.1569689402097143,-0.33846698246583407,-0.578278520040787,0.22438757025106293,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.098,-1.1569689402097143,-0.33846698246583407,-0.578278520040787,0.22438757025106293,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.098,-1.1569689402097143,-0.33846698246583407,-0.578278520040787,0.22438757025106293,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.098,-1.1569689402097143,-0.33846698246583407,-0.578278520040787,0.22438757025106293,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.098,-1.1569689402097143,-0.33846698246583407,-0.578278520040787,0.22438757025106293,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.098,-1.1569689402097143,-0.33846698246583407,-0.578278520040787,0.22438757025106293,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.098,-1.1569689402097143,-0.33846698246583407,-0.578278520040787,0.22438757025106293,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.098,-1.1569689402097143,-0.33846698246583407,-0.578278520040787,0.22438757025106293,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.09820000000000001,-1.1568749859142302,-0.33850422153668147,-0.577932389456791,0.22388215830139382,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.09820000000000001,-1.1568749859142302,-0.33850422153668147,-0.577932389456791,0.22388215830139382,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.09820000000000001,-1.1568749859142302,-0.33850422153668147,-0.577932389456791,0.22388215830139382,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.09820000000000001,-1.1568749859142302,-0.33850422153668147,-0.577932389456791,0.22388215830139382,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.09820000000000001,-1.1568749859142302,-0.33850422153668147,-0.577932389456791,0.22388215830139382,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.09820000000000001,-1.1568749859142302,-0.33850422153668147,-0.577932389456791,0.22388215830139382,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.09820000000000001,-1.1568749859142302,-0.33850422153668147,-0.577932389456791,0.22388215830139382,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.09820000000000001,-1.1568749859142302,-0.33850422153668147,-0.577932389456791,0.22388215830139382,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0984,-1.156780977233666,-0.33854143585841845,-0.5775860585164465,0.2233770822488314,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0984,-1.156780977233666,-0.33854143585841845,-0.5775860585164465,0.2233770822488314,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0984,-1.156780977233666,-0.33854143585841845,-0.5775860585164465,0.2233770822488314,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0984,-1.156780977233666,-0.33854143585841845,-0.5775860585164465,0.2233770822488314,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0984,-1.156780977233666,-0.33854143585841845,-0.5775860585164465,0.2233770822488314,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0984,-1.156780977233666,-0.33854143585841845,-0.5775860585164465,0.2233770822488314,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0984,-1.156780977233666,-0.33854143585841845,-0.5775860585164465,0.2233770822488314,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0984,-1.156780977233666,-0.33854143585841845,-0.5775860585164465,0.2233770822488314,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.09860000000000001,-1.1566869143951672,-0.3385786254241278,-0.5772395280565659,0.22287234218725638,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.09860000000000001,-1.1566869143951672,-0.3385786254241278,-0.5772395280565659,0.22287234218725638,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.09860000000000001,-1.1566869143951672,-0.3385786254241278,-0.5772395280565659,0.22287234218725638,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.09860000000000001,-1.1566869143951672,-0.3385786254241278,-0.5772395280565659,0.22287234218725638,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.09860000000000001,-1.1566869143951672,-0.3385786254241278,-0.5772395280565659,0.22287234218725638,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.09860000000000001,-1.1566869143951672,-0.3385786254241278,-0.5772395280565659,0.22287234218725638,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.09860000000000001,-1.1566869143951672,-0.3385786254241278,-0.5772395280565659,0.22287234218725638,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
