lambda,eta,hit_prob,n,W_star,requested_W_lo,requested_W_hi,effective_W_lo,effective_W_hi,window_clipped,skipped
0.024,0.28,0.3495,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.4,0.672,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.6,0.92,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.85,0.9885,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,1.1,0.999,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.032,0.0,0.0,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.02,0.0,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.035,0.0,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.05,0.0,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.07,0.0,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.1,0.0,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.14,0.0055,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.2,0.0555,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.28,0.2375,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.4,0.5405,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.6,0.8405,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,0.85,0.9775,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.032,1.1,0.997,2000,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,False
0.048,0.0,0.0,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.02,0.0,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.035,0.0,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.05,0.0,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.07,0.0,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.1,0.0,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.14,0.0005,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.2,0.0185,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.28,0.1135,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.4,0.333,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.6,0.72,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,0.85,0.928,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.048,1.1,0.984,2000,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,False
0.064,0.0,0.0,2000,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,False
